ds,y
11/3/2017,518
11/4/2017,321
11/5/2017,401
11/6/2017,909
11/7/2017,1115
11/8/2017,1090
11/9/2017,958
11/10/2017,646
11/11/2017,437
11/12/2017,609
11/13/2017,862
11/14/2017,951
11/15/2017,967
11/16/2017,945
11/17/2017,643
11/18/2017,424
11/19/2017,581
11/20/2017,954
11/21/2017,926
11/22/2017,938
11/23/2017,799
11/24/2017,552
11/25/2017,417
11/26/2017,576
11/27/2017,854
11/28/2017,914
11/29/2017,775
11/30/2017,716
12/1/2017,622
12/2/2017,451
12/3/2017,618
12/4/2017,937
12/5/2017,846
12/6/2017,706
12/7/2017,755
12/8/2017,604
12/9/2017,379
12/10/2017,422
12/11/2017,765
12/12/2017,733
12/13/2017,625
12/14/2017,754
12/15/2017,438
12/16/2017,353
12/17/2017,379
12/18/2017,518
12/19/2017,489
12/20/2017,423
12/21/2017,387
12/22/2017,284
12/23/2017,228
12/24/2017,155
12/25/2017,196
12/26/2017,300
12/27/2017,350
12/28/2017,343
12/29/2017,250
12/30/2017,198
12/31/2017,193
1/1/2018,220
1/2/2018,439
1/3/2018,609
1/4/2018,475
1/5/2018,382
1/6/2018,314
1/7/2018,334
1/8/2018,654
1/9/2018,727
1/10/2018,770
1/11/2018,731
1/12/2018,592
1/13/2018,412
1/14/2018,446
1/15/2018,661
1/16/2018,897
1/17/2018,861
1/18/2018,815
1/19/2018,693
1/20/2018,514
1/21/2018,693
1/22/2018,949
1/23/2018,1035
1/24/2018,965
1/25/2018,913
1/26/2018,673
1/27/2018,498
1/28/2018,634
1/29/2018,875
1/30/2018,757
1/31/2018,771
2/1/2018,674
2/2/2018,556
2/3/2018,399
2/4/2018,510
2/5/2018,661
2/6/2018,657
2/7/2018,588
2/8/2018,625
2/9/2018,492
2/10/2018,375
2/11/2018,498
2/12/2018,645
2/13/2018,572
2/14/2018,506
2/15/2018,515
2/16/2018,437
2/17/2018,372
2/18/2018,362
2/19/2018,519
2/20/2018,582
2/21/2018,673
2/22/2018,568
2/23/2018,429
2/24/2018,337
2/25/2018,366
2/26/2018,603
2/27/2018,589
2/28/2018,663
3/1/2018,558
3/2/2018,486
3/3/2018,371
3/4/2018,438
3/5/2018,659
3/6/2018,703
3/7/2018,685
3/8/2018,664
3/9/2018,542
3/10/2018,358
3/11/2018,488
3/12/2018,604
3/13/2018,576
3/14/2018,595
3/15/2018,635
3/16/2018,508
3/17/2018,325
3/18/2018,411
3/19/2018,566
3/20/2018,617
3/21/2018,562
3/22/2018,564
3/23/2018,448
3/24/2018,333
3/25/2018,372
3/26/2018,521
3/27/2018,589
3/28/2018,485
3/29/2018,410
3/30/2018,407
3/31/2018,342
4/1/2018,339
4/2/2018,682
4/3/2018,600
4/4/2018,626
4/5/2018,553
4/6/2018,486
4/7/2018,349
4/8/2018,334
4/9/2018,516
4/10/2018,608
4/11/2018,610
4/12/2018,595
4/13/2018,461
4/14/2018,298
4/15/2018,376
4/16/2018,515
4/17/2018,631
4/18/2018,569
4/19/2018,578
4/20/2018,410
4/21/2018,316
4/22/2018,366
4/23/2018,560
4/24/2018,522
4/25/2018,536
4/26/2018,486
4/27/2018,360
4/28/2018,298
4/29/2018,292
4/30/2018,462
5/1/2018,511
5/2/2018,491
5/3/2018,524
5/4/2018,400
5/5/2018,301
5/6/2018,305
5/7/2018,454
5/8/2018,517
5/9/2018,507
5/10/2018,555
5/11/2018,432
